Sampling Event ID,Capture Year,Capture Date,Round,Site,SiteCode,Nectar Common Name,Section 1,Section 2,Section 3,Section 4,Section 5,Collector,Enterer,Checker
35,2017,7.23,3,LTR,LTR-C,queen anne's lace,29,8,26,20,30,ELM,NJL,NJL
35,2017,7.23,3,LTR,LTR-C,daisy fleabane,2,0,20,10,12,ELM,NJL,NJL
35,2017,7.23,3,LTR,LTR-C,deptford pink,1,0,0,0,0,ELM,NJL,NJL
35,2017,7.23,3,LTR,LTR-C,hoary vervain,2,5,1,1,4,ELM,NJL,NJL
35,2017,7.23,3,LTR,LTR-C,black-eyed susan,1,0,0,0,0,ELM,NJL,NJL
35,2017,7.23,3,LTR,LTR-C,red clover,1,0,3,3,40,ELM,NJL,NJL
35,2017,7.23,3,LTR,LTR-C,ironweed,7,3,0,0,0,ELM,NJL,NJL
35,2017,7.23,3,LTR,LTR-C,prairie petunia,0,1,0,0,0,ELM,NJL,NJL
35,2017,7.23,3,LTR,LTR-C,partridge pea,0,0,3,0,1,ELM,NJL,NJL
36,2017,7.25,3,LTR,LTR-E,queen anne's lace,53,48,52,29,40,EKS,EKS,NJL
36,2017,7.25,3,LTR,LTR-E,ironweed,6,15,10,0,8,EKS,EKS,NJL
36,2017,7.25,3,LTR,LTR-E,wild parsnip,0,0,2,0,0,EKS,EKS,NJL
36,2017,7.25,3,LTR,LTR-E,hoary vervain,16,0,0,1,5,EKS,EKS,NJL
36,2017,7.25,3,LTR,LTR-E,grey-headed coneflower,0,0,0,3,0,EKS,EKS,NJL
36,2017,7.25,3,LTR,LTR-E,white clover,5,2,0,0,0,EKS,EKS,NJL
36,2017,7.25,3,LTR,LTR-E,prairie petunia,9,9,6,5,4,EKS,EKS,NJL
36,2017,7.25,3,LTR,LTR-E,daisy fleabane,5,10,28,14,10,EKS,EKS,NJL
36,2017,7.25,3,LTR,LTR-E,red clover,1,32,65,17,15,EKS,EKS,NJL
36,2017,7.25,3,LTR,LTR-E,partridge pea,0,4,7,2,2,EKS,EKS,NJL
37,2017,7.25,3,GIL,GIL-N,birdsfoot trefoil,510,305,210,171,7,EKS,EKS,NJL
37,2017,7.25,3,GIL,GIL-N,queen anne's lace,45,108,43,45,61,EKS,EKS,NJL
37,2017,7.25,3,GIL,GIL-N,chicory,35,17,3,31,17,EKS,EKS,NJL
37,2017,7.25,3,GIL,GIL-N,white clover,3,42,4,10,5,EKS,EKS,NJL
37,2017,7.25,3,GIL,GIL-N,red clover,0,23,1,3,2,EKS,EKS,NJL
37,2017,7.25,3,GIL,GIL-N,deptford pink,0,4,0,0,0,EKS,EKS,NJL
37,2017,7.25,3,GIL,GIL-N,daisy fleabane,0,3,2,0,0,EKS,EKS,NJL
37,2017,7.25,3,GIL,GIL-N,prairie petunia,0,2,8,8,0,EKS,EKS,NJL
37,2017,7.25,3,GIL,GIL-N,self-heal,0,0,0,18,10,EKS,EKS,NJL
38,2017,7.25,3,STE,STE-W,birdsfoot trefoil,250,105,250,137,102,EKS,EKS,NJL
38,2017,7.25,3,STE,STE-W,queen anne's lace,200,65,85,71,38,EKS,EKS,NJL
38,2017,7.25,3,STE,STE-W,self-heal,4,3,0,2,5,EKS,EKS,NJL
38,2017,7.25,3,STE,STE-W,red clover,1,6,0,29,4,EKS,EKS,NJL
38,2017,7.25,3,STE,STE-W,swamp agrimony,0,1,0,0,5,EKS,EKS,NJL
38,2017,7.25,3,STE,STE-W,slender mountain mint,0,0,0,78,65,EKS,EKS,NJL
38,2017,7.25,3,STE,STE-W,white clover,0,0,1,0,0,EKS,EKS,NJL
38,2017,7.25,3,STE,STE-W,ribwort plantain,0,0,0,3,3,EKS,EKS,NJL
38,2017,7.25,3,STE,STE-W,daisy fleabane,0,0,1,0,13,EKS,EKS,NJL
38,2017,7.25,3,STE,STE-W,prairie petunia,0,0,3,4,1,EKS,EKS,NJL
38,2017,7.25,3,STE,STE-W,ironweed,0,0,4,0,0,EKS,EKS,NJL
39,2017,7.25,3,STE,STE-S,queen anne's lace,35,22,0,27,75,EKS,EKS,NJL
39,2017,7.25,3,STE,STE-S,birdsfoot trefoil,102,10,0,15,110,EKS,EKS,NJL
39,2017,7.25,3,STE,STE-S,bee balm,0,0,0,0,7,EKS,EKS,NJL
39,2017,7.25,3,STE,STE-S,ironweed,0,0,0,0,30,EKS,EKS,NJL
39,2017,7.25,3,STE,STE-S,horse nettle,0,0,0,2,0,EKS,EKS,NJL
39,2017,7.25,3,STE,STE-S,red clover,15,4,0,5,0,EKS,EKS,NJL
39,2017,7.25,3,STE,STE-S,white clover,0,0,5,0,0,EKS,EKS,NJL
39,2017,7.25,3,STE,STE-S,ribwort plantain,0,0,10,0,0,EKS,EKS,NJL
40,2017,7.25,3,LTR,LTR-W,queen anne's lace,13,6,14,8,9,EKS,EKS,NJL
40,2017,7.25,3,LTR,LTR-W,bee balm,7,0,0,0,0,EKS,EKS,NJL
40,2017,7.25,3,LTR,LTR-W,ironweed,7,0,8,0,0,EKS,EKS,NJL
40,2017,7.25,3,LTR,LTR-W,daisy fleabane,8,10,0,0,9,EKS,EKS,NJL
40,2017,7.25,3,LTR,LTR-W,partridge pea,0,3,2,2,0,EKS,EKS,NJL
40,2017,7.25,3,LTR,LTR-W,prairie petunia,0,0,7,8,1,EKS,EKS,NJL
40,2017,7.25,3,LTR,LTR-W,birdsfoot trefoil,0,0,0,0,20,EKS,EKS,NJL
40,2017,7.25,3,LTR,LTR-W,slender mountain mint,0,0,0,0,10,EKS,EKS,NJL
41,2017,7.25,3,PYN,PYN-N,birdsfoot trefoil,130,185,110,60,30,EKS,EKS,NJL
41,2017,7.25,3,PYN,PYN-N,red clover,18,30,125,30,5,EKS,EKS,NJL
41,2017,7.25,3,PYN,PYN-N,daisy fleabane,5,0,0,0,0,EKS,EKS,NJL
41,2017,7.25,3,PYN,PYN-N,ironweed,25,15,0,0,0,EKS,EKS,NJL
41,2017,7.25,3,PYN,PYN-N,queen anne's lace,25,8,50,16,8,EKS,EKS,NJL
41,2017,7.25,3,PYN,PYN-N,prairie petunia,3,6,0,12,0,EKS,EKS,NJL
41,2017,7.25,3,PYN,PYN-N,hoary vervain,0,2,0,0,0,EKS,EKS,NJL
41,2017,7.25,3,PYN,PYN-N,chicory,0,0,15,0,0,EKS,EKS,NJL
41,2017,7.25,3,PYN,PYN-N,horse nettle,0,0,1,0,0,EKS,EKS,NJL
41,2017,7.25,3,PYN,PYN-N,deptford pink,0,0,1,2,0,EKS,EKS,NJL
41,2017,7.25,3,PYN,PYN-N,grey-headed coneflower,0,0,0,10,0,EKS,EKS,NJL
,,,,,,,,,,,,,,
